campaign_id,campaign_name,platform,post_type,post_date,post_time,content_theme,target_audience,boosted_post,spend_usd,reach,impressions,engagements,clicks,conversions,conversion_value_usd,cpc_usd,ctr,engagement_rate,hashtag_count,emoji_count,word_count,sentiment_score,video_length_seconds
CMP1000,Spring Campaign 2024,LinkedIn,Story,1/8/2024,21:30,Promotion,"Millennials (25-34, Suburban)",FALSE,1.57,2865,4713,216,79,15,1167.5,0.02,0.0168,0.0754,4,2,20,0.06,78
CMP1000,Summer Campaign 2025,TikTok,Carousel,1/11/2024,23:00,Product Launch,"Professionals (25-54, B2B)",FALSE,4.45,1186,1745,73,29,3,306.09,0.15,0.0166,0.0616,11,2,13,-0.3,0
CMP1000,Back to School Campaign 2024,LinkedIn,Carousel,1/5/2024,15:00,Promotion,"Millennials (25-34, Suburban)",TRUE,67.92,4669,7205,320,175,34,4567.75,0.39,0.0243,0.0685,12,2,35,0.37,0
CMP1000,Spring Campaign 2024,X,Carousel,1/2/2024,11:00,Promotion,"Parents (30-45, Suburban)",TRUE,108.04,4851,7562,122,52,5,300.93,2.08,0.0069,0.0251,13,1,49,0.08,0
CMP1000,Fall Campaign 2025,TikTok,Video,1/13/2024,15:15,User Testimonial,"Parents (30-45, Suburban)",FALSE,0.58,4867,6821,380,212,19,271.86,0,0.0311,0.0781,13,3,7,0,16
CMP1000,Spring Campaign 2024,Instagram,Video,1/25/2024,7:15,Behind-the-Scenes,"Gen Z (18-24, Urban)",TRUE,23.54,1450,1635,40,21,3,352.17,1.12,0.0128,0.0276,15,9,11,-0.3,49
CMP1000,Summer Campaign 2024,LinkedIn,Image,1/18/2024,20:00,Behind-the-Scenes,"Parents (30-45, Suburban)",TRUE,54.35,6205,9049,628,339,55,5679.6,0.16,0.0375,0.1012,3,10,41,0.71,0
CMP1000,Summer Campaign 2024,Facebook,Video,1/8/2024,11:00,User Testimonial,"Professionals (25-54, B2B)",TRUE,154.48,12705,15564,836,558,66,4205.95,0.28,0.0359,0.0658,7,9,32,-0.61,75
CMP1000,Holiday Campaign 2025,Instagram,Video,1/1/2024,21:30,Lifestyle,"Professionals (25-54, B2B)",TRUE,97.77,9705,11397,644,230,39,3413.39,0.43,0.0202,0.0664,9,1,32,0.18,108
CMP1000,Back to School Campaign 2024,X,Image,1/8/2024,11:15,Lifestyle,"Millennials (25-34, Suburban)",TRUE,4.18,2046,2655,61,30,3,46.57,0.14,0.0113,0.0298,12,0,11,0.66,0
CMP1000,Summer Campaign 2025,Facebook,Reel,1/10/2024,11:45,Product Launch,"Parents (30-45, Suburban)",TRUE,112.27,11107,17480,754,241,14,1849,0.47,0.0138,0.0679,6,3,5,0.49,48
CMP1000,Summer Campaign 2024,X,Image,1/22/2024,10:15,Promotion,"Parents (30-45, Suburban)",TRUE,1.21,5873,6586,409,254,20,2571.28,0,0.0386,0.0696,7,7,12,0.59,0
CMP1000,Spring Campaign 2024,Instagram,Reel,1/10/2024,9:45,Product Launch,"Gen X (35-50, Mixed)",TRUE,194.72,7089,9574,634,230,26,2477.08,0.85,0.024,0.0894,11,6,35,0.49,52
CMP1000,Back to School Campaign 2024,X,Image,1/2/2024,8:00,Product Launch,"Millennials (25-34, Suburban)",FALSE,1.46,7197,9565,436,253,15,651.56,0.01,0.0265,0.0606,6,5,8,0.47,0
CMP1000,Holiday Campaign 2024,TikTok,Image,1/27/2024,14:00,User Testimonial,"Professionals (25-54, B2B)",TRUE,9.82,3821,5364,183,71,13,1226.42,0.14,0.0132,0.0479,10,10,31,0.11,0
CMP1000,Summer Campaign 2025,Instagram,Image,1/26/2024,22:00,Promotion,"Professionals (25-54, B2B)",FALSE,8.62,2388,3044,196,62,12,1791.15,0.14,0.0204,0.0821,1,3,50,0.17,0
CMP1000,Fall Campaign 2024,LinkedIn,Reel,1/17/2024,6:15,Lifestyle,"Parents (30-45, Suburban)",TRUE,131.36,17817,22690,1169,675,47,6251.12,0.19,0.0297,0.0656,0,3,27,1,43
CMP1000,Holiday Campaign 2024,TikTok,Carousel,1/27/2024,17:45,Lifestyle,"Millennials (25-34, Suburban)",TRUE,2.27,1580,2532,183,72,6,595.03,0.03,0.0284,0.1158,4,6,6,1,0
CMP1000,Holiday Campaign 2024,Facebook,Story,1/27/2024,23:00,Promotion,"Gen Z (18-24, Urban)",TRUE,174.77,7513,9877,493,224,28,3861.85,0.78,0.0227,0.0656,14,5,12,0.34,45
CMP1000,Fall Campaign 2024,Instagram,Story,1/11/2024,13:30,Lifestyle,"Gen Z (18-24, Urban)",FALSE,2.53,7688,10107,578,240,37,4462.67,0.01,0.0237,0.0752,6,9,10,0.69,101
CMP1000,Fall Campaign 2025,Facebook,Image,1/7/2024,10:00,Promotion,"Professionals (25-54, B2B)",FALSE,3.34,6711,8692,345,141,10,474.05,0.02,0.0162,0.0514,14,10,35,0.92,0
CMP1000,Fall Campaign 2025,X,Reel,1/23/2024,14:00,Promotion,"Millennials (25-34, Suburban)",TRUE,108.02,14150,17406,1240,851,63,6209.74,0.13,0.0489,0.0876,11,4,10,0.25,63
CMP1000,Holiday Campaign 2025,LinkedIn,Reel,1/27/2024,19:45,Lifestyle,"Parents (30-45, Suburban)",FALSE,7.13,4519,6233,318,195,23,298.34,0.04,0.0313,0.0704,1,6,28,1,47
CMP1000,Fall Campaign 2024,Instagram,Reel,1/18/2024,7:30,User Testimonial,"Parents (30-45, Suburban)",TRUE,12.86,2332,2658,86,44,8,680.83,0.29,0.0166,0.0369,9,2,44,-0.12,14
CMP1000,Fall Campaign 2024,TikTok,Reel,1/6/2024,11:45,Behind-the-Scenes,"Professionals (25-54, B2B)",TRUE,20.88,4007,6195,124,52,9,1267.17,0.4,0.0084,0.0309,8,9,13,-0.37,113
CMP1000,Summer Campaign 2024,Facebook,Reel,1/7/2024,10:15,Promotion,"Professionals (25-54, B2B)",TRUE,60.84,7429,12177,411,157,30,385.57,0.39,0.0129,0.0553,12,3,19,0.6,22
CMP1000,Summer Campaign 2024,Instagram,Carousel,1/21/2024,19:30,User Testimonial,"Parents (30-45, Suburban)",FALSE,6.16,5484,6326,468,321,38,5277.61,0.02,0.0507,0.0853,9,4,44,1,0
CMP1000,Back to School Campaign 2024,X,Carousel,1/23/2024,6:15,Product Launch,"Professionals (25-54, B2B)",TRUE,18.06,6993,8196,406,282,38,503.27,0.06,0.0344,0.0581,13,4,28,0.53,0
CMP1000,Holiday Campaign 2025,X,Story,1/15/2024,9:00,Promotion,"Professionals (25-54, B2B)",TRUE,87.89,2911,4260,85,59,4,267.39,1.49,0.0138,0.0292,6,10,47,0.32,19
CMP1000,Spring Campaign 2024,LinkedIn,Story,1/8/2024,17:00,Product Launch,"Professionals (25-54, B2B)",FALSE,17.57,4506,7030,166,72,5,562.94,0.24,0.0102,0.0368,6,8,34,-0.11,20
CMP1000,Summer Campaign 2024,Facebook,Story,1/9/2024,16:30,User Testimonial,"Parents (30-45, Suburban)",FALSE,1.26,6026,9298,550,324,59,5429.64,0,0.0348,0.0913,8,4,37,0.58,39
CMP1000,Back to School Campaign 2024,LinkedIn,Video,1/28/2024,20:00,Behind-the-Scenes,"Parents (30-45, Suburban)",TRUE,35.67,1904,2799,118,55,5,275.28,0.65,0.0196,0.062,7,7,30,0.03,80
CMP1000,Fall Campaign 2025,Instagram,Reel,1/3/2024,21:00,Lifestyle,"Gen X (35-50, Mixed)",TRUE,21.08,7404,10175,740,349,24,2193.43,0.06,0.0343,0.0999,1,2,35,0.18,97
CMP1000,Spring Campaign 2024,X,Story,1/2/2024,23:15,Promotion,"Millennials (25-34, Suburban)",TRUE,95.42,9091,14413,460,282,55,2602.04,0.34,0.0196,0.0506,10,1,43,-0.1,109
CMP1000,Spring Campaign 2024,Facebook,Image,1/11/2024,12:00,Lifestyle,"Professionals (25-54, B2B)",FALSE,2.31,1456,1945,87,43,2,211.95,0.05,0.0221,0.0598,2,10,15,0.3,0
CMP1000,Fall Campaign 2025,Instagram,Video,1/5/2024,14:00,Lifestyle,"Gen Z (18-24, Urban)",FALSE,2.7,2124,2835,107,43,5,518.93,0.06,0.0152,0.0504,8,4,27,-0.16,116
CMP1000,Fall Campaign 2025,Instagram,Carousel,1/15/2024,16:00,Product Launch,"Millennials (25-34, Suburban)",TRUE,22.63,2801,4291,98,63,11,485.61,0.36,0.0147,0.035,9,7,40,0.26,0
CMP1000,Spring Campaign 2025,LinkedIn,Image,1/6/2024,15:15,Behind-the-Scenes,"Gen Z (18-24, Urban)",TRUE,32.45,4374,5480,509,159,12,265.2,0.2,0.029,0.1164,13,8,24,0.09,0
CMP1000,Spring Campaign 2025,X,Story,1/8/2024,22:15,Behind-the-Scenes,"Millennials (25-34, Suburban)",FALSE,4.2,2841,4239,317,209,23,3351.65,0.02,0.0493,0.1116,2,6,6,0.35,10
CMP1000,Back to School Campaign 2024,TikTok,Video,1/2/2024,12:30,Product Launch,"Professionals (25-54, B2B)",TRUE,39.32,8052,11153,827,274,38,412.36,0.14,0.0246,0.1027,2,6,25,-0.05,27
CMP1000,Back to School Campaign 2024,Facebook,Carousel,1/21/2024,11:15,Product Launch,"Professionals (25-54, B2B)",FALSE,2.58,5132,8018,555,382,61,3274.16,0.01,0.0476,0.1081,6,10,36,-0.39,0
CMP1000,Spring Campaign 2024,Instagram,Image,1/21/2024,12:30,Behind-the-Scenes,"Professionals (25-54, B2B)",TRUE,2.33,2097,3273,105,50,7,82.41,0.05,0.0153,0.0501,5,8,18,1,0
CMP1000,Summer Campaign 2025,X,Reel,1/21/2024,21:15,Lifestyle,"Professionals (25-54, B2B)",FALSE,4.97,4965,6318,228,144,23,2534.88,0.03,0.0228,0.0459,0,7,45,0.29,67
CMP1000,Spring Campaign 2024,Facebook,Story,1/16/2024,12:15,User Testimonial,"Parents (30-45, Suburban)",TRUE,168.87,12894,20318,652,210,17,2038.27,0.8,0.0103,0.0506,10,5,33,0.43,10
CMP1000,Summer Campaign 2025,Instagram,Video,1/26/2024,19:15,Product Launch,"Professionals (25-54, B2B)",FALSE,4.97,5038,6265,437,218,39,808.64,0.02,0.0348,0.0867,12,8,42,-0.17,24
CMP1000,Holiday Campaign 2024,X,Story,1/10/2024,13:45,Behind-the-Scenes,"Gen Z (18-24, Urban)",FALSE,0.63,6354,7437,381,127,8,1148.78,0,0.0171,0.06,12,7,18,1,102
CMP1000,Spring Campaign 2025,Instagram,Reel,1/10/2024,14:00,Lifestyle,"Gen Z (18-24, Urban)",FALSE,0.6,3224,4773,297,181,9,188.44,0,0.0379,0.0921,3,6,36,-0.15,100
CMP1000,Spring Campaign 2025,LinkedIn,Story,1/23/2024,7:15,Product Launch,"Parents (30-45, Suburban)",TRUE,6.45,835,1117,71,29,4,125.38,0.22,0.026,0.085,3,2,24,0.41,19
CMP1000,Fall Campaign 2024,Facebook,Image,1/26/2024,22:30,User Testimonial,"Gen Z (18-24, Urban)",FALSE,6.28,4351,7102,290,118,17,518.04,0.05,0.0166,0.0667,4,9,13,0.31,0
CMP1000,Back to School Campaign 2025,LinkedIn,Video,1/1/2024,15:00,User Testimonial,"Millennials (25-34, Suburban)",TRUE,7.5,5546,6371,603,213,22,1450.69,0.04,0.0334,0.1087,8,3,32,-0.22,118
CMP1000,Fall Campaign 2024,LinkedIn,Reel,1/15/2024,16:00,Promotion,"Professionals (25-54, B2B)",TRUE,6.32,2179,2455,71,23,3,157.26,0.27,0.0094,0.0326,0,4,8,0.3,115
CMP1000,Back to School Campaign 2025,Facebook,Carousel,1/13/2024,9:15,Lifestyle,"Parents (30-45, Suburban)",TRUE,130.46,8070,10378,460,273,52,611.19,0.48,0.0263,0.057,7,4,36,-0.03,0
CMP1000,Summer Campaign 2025,X,Story,1/1/2024,19:45,Lifestyle,"Gen Z (18-24, Urban)",TRUE,52.54,9390,12742,356,177,34,2833.16,0.3,0.0139,0.0379,14,1,48,1,89
CMP1000,Summer Campaign 2025,LinkedIn,Story,1/3/2024,10:30,Behind-the-Scenes,"Gen Z (18-24, Urban)",TRUE,82.05,8462,10568,238,156,30,4177.2,0.53,0.0148,0.0281,12,2,40,0.68,115
CMP1000,Back to School Campaign 2025,LinkedIn,Image,1/3/2024,17:45,Behind-the-Scenes,"Parents (30-45, Suburban)",TRUE,199.09,8027,9641,169,63,10,1421.22,3.16,0.0065,0.0211,15,5,47,0.3,0
CMP1000,Spring Campaign 2024,Instagram,Story,1/9/2024,9:45,Behind-the-Scenes,"Professionals (25-54, B2B)",TRUE,27.72,6644,10432,615,287,22,1651.11,0.1,0.0275,0.0926,6,8,36,-0.17,82
CMP1000,Fall Campaign 2024,Instagram,Video,1/21/2024,12:45,Product Launch,"Parents (30-45, Suburban)",TRUE,18.45,5301,8585,388,153,27,879.99,0.12,0.0178,0.0732,6,7,30,0.62,96
CMP1000,Back to School Campaign 2024,LinkedIn,Video,1/3/2024,6:00,User Testimonial,"Millennials (25-34, Suburban)",TRUE,6.59,1741,2105,59,24,2,111.87,0.27,0.0114,0.0339,3,3,6,0.72,56
CMP1000,Back to School Campaign 2024,Facebook,Story,1/3/2024,6:00,Lifestyle,"Professionals (25-54, B2B)",TRUE,63.45,3799,4430,119,47,5,290.43,1.35,0.0106,0.0313,7,1,46,0.42,119
CMP1000,Summer Campaign 2024,Facebook,Image,1/18/2024,15:30,Lifestyle,"Parents (30-45, Suburban)",TRUE,159.66,20579,23528,1160,671,78,1889.33,0.24,0.0285,0.0564,10,10,13,0.91,0
CMP1000,Spring Campaign 2025,X,Reel,1/26/2024,19:45,Product Launch,"Professionals (25-54, B2B)",TRUE,24.93,7654,9247,288,134,14,1542.41,0.19,0.0145,0.0376,7,9,43,1,118
CMP1000,Holiday Campaign 2025,TikTok,Video,1/27/2024,13:00,Promotion,"Millennials (25-34, Suburban)",TRUE,35.02,5861,9658,437,258,15,1742.64,0.14,0.0267,0.0746,2,6,45,-0.25,5
CMP1001,Summer Campaign 2025,LinkedIn,Video,2/9/2024,8:15,Product Launch,"Parents (30-45, Suburban)",TRUE,121.32,11187,14383,362,226,35,2415.71,0.54,0.0157,0.0324,13,8,31,0.32,96
CMP1001,Back to School Campaign 2025,Facebook,Reel,2/22/2024,6:45,Product Launch,"Professionals (25-54, B2B)",FALSE,3.34,186,297,4,1,0,0,3.34,0.0034,0.0215,13,2,14,0.88,75
CMP1001,Holiday Campaign 2024,Instagram,Carousel,2/27/2024,20:15,Promotion,"Gen Z (18-24, Urban)",TRUE,39.31,5258,6098,570,298,20,391.3,0.13,0.0489,0.1084,9,9,45,0.78,0
CMP1001,Spring Campaign 2025,Facebook,Reel,2/5/2024,20:00,Behind-the-Scenes,"Professionals (25-54, B2B)",TRUE,76.04,3630,5975,303,162,30,2652.63,0.47,0.0271,0.0835,5,10,38,0.83,64
CMP1001,Spring Campaign 2025,TikTok,Carousel,2/12/2024,8:00,Product Launch,"Gen Z (18-24, Urban)",TRUE,114.22,12092,13440,684,320,41,2093.81,0.36,0.0238,0.0566,12,6,43,0.84,0
CMP1001,Holiday Campaign 2025,X,Image,2/12/2024,13:45,Behind-the-Scenes,"Gen Z (18-24, Urban)",TRUE,46.75,10297,11551,777,253,18,791.99,0.18,0.0219,0.0755,12,8,14,0.4,0
CMP1001,Holiday Campaign 2025,Instagram,Story,2/22/2024,17:00,Product Launch,"Millennials (25-34, Suburban)",TRUE,56.24,7084,9711,442,198,21,1547.11,0.28,0.0204,0.0624,3,10,33,-0.04,119
CMP1001,Spring Campaign 2024,Instagram,Reel,2/13/2024,15:45,Lifestyle,"Parents (30-45, Suburban)",TRUE,55.37,4296,6325,263,82,5,316.81,0.68,0.013,0.0612,10,1,27,-0.39,78
CMP1001,Back to School Campaign 2025,LinkedIn,Image,2/1/2024,17:30,User Testimonial,"Gen Z (18-24, Urban)",TRUE,6.64,2473,3284,63,28,5,689.31,0.24,0.0085,0.0255,5,7,34,0.37,0
CMP1001,Holiday Campaign 2024,LinkedIn,Carousel,2/9/2024,16:00,User Testimonial,"Parents (30-45, Suburban)",TRUE,12.96,1998,2677,64,37,4,264.46,0.35,0.0138,0.032,9,1,38,-0.1,0
CMP1001,Back to School Campaign 2025,Facebook,Reel,2/18/2024,20:00,Behind-the-Scenes,"Gen Z (18-24, Urban)",TRUE,196.83,17398,27587,450,310,29,3251.42,0.63,0.0112,0.0259,8,5,43,0.64,53
CMP1001,Summer Campaign 2025,Instagram,Image,2/20/2024,6:30,Product Launch,"Professionals (25-54, B2B)",TRUE,181.6,8796,11362,907,610,117,3296.18,0.3,0.0537,0.1031,11,10,43,0.16,0
CMP1001,Summer Campaign 2025,Instagram,Image,2/15/2024,6:15,Behind-the-Scenes,"Professionals (25-54, B2B)",TRUE,65,11716,15788,1164,418,45,2362.07,0.16,0.0265,0.0994,4,4,8,0.2,0
CMP1001,Spring Campaign 2024,LinkedIn,Carousel,2/8/2024,12:15,Lifestyle,"Gen X (35-50, Mixed)",TRUE,99.82,10826,12871,686,417,45,3327.96,0.24,0.0324,0.0634,6,4,36,0.13,0
CMP1001,Summer Campaign 2025,LinkedIn,Story,2/6/2024,19:30,Lifestyle,"Millennials (25-34, Suburban)",TRUE,3.25,5856,8613,427,210,30,3898.99,0.02,0.0244,0.0729,8,5,6,0.8,46
CMP1001,Holiday Campaign 2025,X,Reel,2/11/2024,18:00,Behind-the-Scenes,"Gen X (35-50, Mixed)",FALSE,3.81,4202,5042,239,93,16,337.84,0.04,0.0184,0.0569,8,6,17,0.39,115
CMP1001,Summer Campaign 2024,LinkedIn,Video,2/5/2024,12:00,User Testimonial,"Millennials (25-34, Suburban)",TRUE,24.48,938,1451,42,27,3,171.39,0.91,0.0186,0.0448,14,6,43,0.1,66
CMP1001,Fall Campaign 2024,Instagram,Reel,2/18/2024,18:30,Promotion,"Parents (30-45, Suburban)",FALSE,7.16,5491,7211,271,118,19,2519.15,0.06,0.0164,0.0494,10,0,46,0.47,78
CMP1001,Spring Campaign 2025,Instagram,Carousel,2/3/2024,15:30,Product Launch,"Millennials (25-34, Suburban)",TRUE,56.41,5770,9514,642,421,57,7064.69,0.13,0.0443,0.1113,10,0,41,0.37,0
CMP1001,Fall Campaign 2024,Instagram,Video,2/24/2024,14:45,Lifestyle,"Millennials (25-34, Suburban)",TRUE,6.7,3003,3989,272,101,14,2018.19,0.07,0.0253,0.0906,6,4,48,0.35,24
CMP1001,Fall Campaign 2024,Facebook,Story,2/14/2024,23:00,Lifestyle,"Millennials (25-34, Suburban)",FALSE,5.6,4130,5781,338,106,7,444.18,0.05,0.0183,0.0818,15,0,13,-0.04,112
CMP1001,Summer Campaign 2025,X,Video,2/28/2024,22:45,Behind-the-Scenes,"Professionals (25-54, B2B)",TRUE,44.19,7846,10769,416,157,8,1008.14,0.28,0.0146,0.053,14,2,17,-0.19,56
CMP1001,Summer Campaign 2025,TikTok,Image,2/11/2024,15:30,Behind-the-Scenes,"Gen Z (18-24, Urban)",TRUE,110.2,16560,18648,1853,1036,70,4432.93,0.11,0.0556,0.1119,13,9,28,0.59,0
CMP1001,Summer Campaign 2025,TikTok,Image,2/18/2024,15:15,User Testimonial,"Professionals (25-54, B2B)",TRUE,32.67,7614,9691,439,212,38,2267.55,0.15,0.0219,0.0577,12,6,11,1,0
